Loaded dataset with 291742 molecules from pretraining_data/drugs
epoch 004 step 02250/4559 ( 49.4%) lr 0.000104816
epoch 004 step 02300/4559 ( 50.4%) lr 0.000105158
epoch 004 step 02350/4559 ( 51.5%) lr 0.000105474
epoch 004 step 02400/4559 ( 52.6%) lr 0.000105816
epoch 004 step 02450/4559 ( 53.7%) lr 0.000106132
epoch 004 step 02500/4559 ( 54.8%) lr 0.000106474
epoch 004 step 02550/4559 ( 55.9%) lr 0.000106789
epoch 004 step 02600/4559 ( 57.0%) lr 0.000107132
epoch 004 step 02650/4559 ( 58.1%) lr 0.000107447
epoch 004 step 02700/4559 ( 59.2%) lr 0.000107789
epoch 004 step 02750/4559 ( 60.3%) lr 0.000108105
epoch 004 step 02800/4559 ( 61.4%) lr 0.000108447
epoch 004 step 02850/4559 ( 62.5%) lr 0.000108763
epoch 004 step 02900/4559 ( 63.6%) lr 0.000109105
epoch 004 step 02950/4559 ( 64.7%) lr 0.000109421
epoch 004 step 03000/4559 ( 65.8%) lr 0.000109763
epoch 004 step 03050/4559 ( 66.9%) lr 0.000110079
epoch 004 step 03100/4559 ( 68.0%) lr 0.000110421
epoch 004 step 03150/4559 ( 69.1%) lr 0.000110737
epoch 004 step 03200/4559 ( 70.2%) lr 0.000111079
epoch 004 step 03250/4559 ( 71.3%) lr 0.000111395
epoch 004 step 03300/4559 ( 72.4%) lr 0.000111737
epoch 004 step 03350/4559 ( 73.5%) lr 0.000112053
epoch 004 step 03400/4559 ( 74.6%) lr 0.000112395
epoch 004 step 03450/4559 ( 75.7%) lr 0.000112711
epoch 004 step 03500/4559 ( 76.8%) lr 0.000113053
epoch 004 step 03550/4559 ( 77.9%) lr 0.000113368
epoch 004 step 03600/4559 ( 79.0%) lr 0.000113711
epoch 004 step 03650/4559 ( 80.1%) lr 0.000114026
epoch 004 step 03700/4559 ( 81.2%) lr 0.000114368
epoch 004 step 03750/4559 ( 82.3%) lr 0.000114684
epoch 004 step 03800/4559 ( 83.4%) lr 0.000115026
epoch 004 step 03850/4559 ( 84.4%) lr 0.000115342
epoch 004 step 03900/4559 ( 85.5%) lr 0.000115684
epoch 004 step 03950/4559 ( 86.6%) lr 0.000116
epoch 004 step 04000/4559 ( 87.7%) lr 0.000116342
epoch 004 step 04050/4559 ( 88.8%) lr 0.000116658
epoch 004 step 04100/4559 ( 89.9%) lr 0.000117
epoch 004 step 04150/4559 ( 91.0%) lr 0.000117316
epoch 004 step 04200/4559 ( 92.1%) lr 0.000117658
epoch 004 step 04250/4559 ( 93.2%) lr 0.000117974
epoch 004 step 04300/4559 ( 94.3%) lr 0.000118316
epoch 004 step 04350/4559 ( 95.4%) lr 0.000118632
epoch 004 step 04400/4559 ( 96.5%) lr 0.000118974
epoch 004 step 04450/4559 ( 97.6%) lr 0.000119289
epoch 004 step 04500/4559 ( 98.7%) lr 0.000119632
epoch 004 step 04550/4559 ( 99.8%) lr 0.000119947
epoch 004 step 04559/4559 (100.0%) lr 0.000120026
epoch 004 loss 0.0892 time 1166.0s
epoch 005 step 00050/4559 (  1.1%) lr 0.000120342
epoch 005 step 00100/4559 (  2.2%) lr 0.000120684
epoch 005 step 00150/4559 (  3.3%) lr 0.000121
epoch 005 step 00200/4559 (  4.4%) lr 0.000121342
epoch 005 step 00250/4559 (  5.5%) lr 0.000121658
epoch 005 step 00300/4559 (  6.6%) lr 0.000122
epoch 005 step 00350/4559 (  7.7%) lr 0.000122316
epoch 005 step 00400/4559 (  8.8%) lr 0.000122658
epoch 005 step 00450/4559 (  9.9%) lr 0.000122974
epoch 005 step 00500/4559 ( 11.0%) lr 0.000123316
epoch 005 step 00550/4559 ( 12.1%) lr 0.000123632
epoch 005 step 00600/4559 ( 13.2%) lr 0.000123974
epoch 005 step 00650/4559 ( 14.3%) lr 0.000124289
epoch 005 step 00700/4559 ( 15.4%) lr 0.000124632
epoch 005 step 00750/4559 ( 16.5%) lr 0.000124947
epoch 005 step 00800/4559 ( 17.5%) lr 0.000125289
epoch 005 step 00850/4559 ( 18.6%) lr 0.000125605
epoch 005 step 00900/4559 ( 19.7%) lr 0.000125947
epoch 005 step 00950/4559 ( 20.8%) lr 0.000126263
epoch 005 step 01000/4559 ( 21.9%) lr 0.000126605
epoch 005 step 01050/4559 ( 23.0%) lr 0.000126921
epoch 005 step 01100/4559 ( 24.1%) lr 0.000127263
epoch 005 step 01150/4559 ( 25.2%) lr 0.000127579
epoch 005 step 01200/4559 ( 26.3%) lr 0.000127921
epoch 005 step 01250/4559 ( 27.4%) lr 0.000128237
epoch 005 step 01300/4559 ( 28.5%) lr 0.000128579
epoch 005 step 01350/4559 ( 29.6%) lr 0.000128895
epoch 005 step 01400/4559 ( 30.7%) lr 0.000129237
epoch 005 step 01450/4559 ( 31.8%) lr 0.000129553
epoch 005 step 01500/4559 ( 32.9%) lr 0.000129895
epoch 005 step 01550/4559 ( 34.0%) lr 0.000130211
epoch 005 step 01600/4559 ( 35.1%) lr 0.000130553
epoch 005 step 01650/4559 ( 36.2%) lr 0.000130868
epoch 005 step 01700/4559 ( 37.3%) lr 0.000131211
epoch 005 step 01750/4559 ( 38.4%) lr 0.000131526
epoch 005 step 01800/4559 ( 39.5%) lr 0.000131868
epoch 005 step 01850/4559 ( 40.6%) lr 0.000132184
epoch 005 step 01900/4559 ( 41.7%) lr 0.000132526
epoch 005 step 01950/4559 ( 42.8%) lr 0.000132842
epoch 005 step 02000/4559 ( 43.9%) lr 0.000133184
epoch 005 step 02050/4559 ( 45.0%) lr 0.0001335
epoch 005 step 02100/4559 ( 46.1%) lr 0.000133842
epoch 005 step 02150/4559 ( 47.2%) lr 0.000134158
epoch 005 step 02200/4559 ( 48.3%) lr 0.0001345
epoch 005 step 02250/4559 ( 49.4%) lr 0.000134816
epoch 005 step 02300/4559 ( 50.4%) lr 0.000135158
epoch 005 step 02350/4559 ( 51.5%) lr 0.000135474
epoch 005 step 02400/4559 ( 52.6%) lr 0.000135816
epoch 005 step 02450/4559 ( 53.7%) lr 0.000136132
epoch 005 step 02500/4559 ( 54.8%) lr 0.000136474
epoch 005 step 02550/4559 ( 55.9%) lr 0.000136789
epoch 005 step 02600/4559 ( 57.0%) lr 0.000137132
epoch 005 step 02650/4559 ( 58.1%) lr 0.000137447
epoch 005 step 02700/4559 ( 59.2%) lr 0.000137789
epoch 005 step 02750/4559 ( 60.3%) lr 0.000138105
epoch 005 step 02800/4559 ( 61.4%) lr 0.000138447
epoch 005 step 02850/4559 ( 62.5%) lr 0.000138763
epoch 005 step 02900/4559 ( 63.6%) lr 0.000139105
